Epoch: [0][3700/17702]	Batch Time 0.179 (0.183)	Data Load Time 0.037 (0.036)	Loss 3.8818 (4.4250)	Top-5 Accuracy 67.127 (60.010)
Epoch: [0][3800/17702]	Batch Time 0.182 (0.183)	Data Load Time 0.036 (0.036)	Loss 4.1257 (4.4145)	Top-5 Accuracy 64.628 (60.146)
Epoch: [0][3900/17702]	Batch Time 0.217 (0.183)	Data Load Time 0.031 (0.036)	Loss 4.2685 (4.4043)	Top-5 Accuracy 64.403 (60.270)
Epoch: [0][4000/17702]	Batch Time 0.172 (0.183)	Data Load Time 0.031 (0.036)	Loss 3.6490 (4.3942)	Top-5 Accuracy 68.555 (60.405)
Epoch: [0][4100/17702]	Batch Time 0.182 (0.183)	Data Load Time 0.028 (0.036)	Loss 4.1082 (4.3846)	Top-5 Accuracy 64.962 (60.527)
Epoch: [0][4200/17702]	Batch Time 0.186 (0.183)	Data Load Time 0.028 (0.036)	Loss 4.1179 (4.3751)	Top-5 Accuracy 64.304 (60.654)
Epoch: [0][4300/17702]	Batch Time 0.177 (0.183)	Data Load Time 0.034 (0.036)	Loss 3.9902 (4.3669)	Top-5 Accuracy 67.120 (60.757)
Epoch: [0][4400/17702]	Batch Time 0.172 (0.183)	Data Load Time 0.031 (0.036)	Loss 4.1967 (4.3588)	Top-5 Accuracy 62.299 (60.862)
Epoch: [0][4500/17702]	Batch Time 0.207 (0.183)	Data Load Time 0.031 (0.036)	Loss 4.4582 (4.3502)	Top-5 Accuracy 58.568 (60.969)
Epoch: [0][4600/17702]	Batch Time 0.172 (0.182)	Data Load Time 0.029 (0.036)	Loss 3.7431 (4.3426)	Top-5 Accuracy 68.785 (61.075)
Epoch: [0][4700/17702]	Batch Time 0.181 (0.182)	Data Load Time 0.036 (0.036)	Loss 3.9000 (4.3355)	Top-5 Accuracy 64.820 (61.167)
Epoch: [0][4800/17702]	Batch Time 0.175 (0.182)	Data Load Time 0.029 (0.036)	Loss 3.9819 (4.3291)	Top-5 Accuracy 67.624 (61.255)
Epoch: [0][4900/17702]	Batch Time 0.183 (0.182)	Data Load Time 0.037 (0.036)	Loss 3.9267 (4.3219)	Top-5 Accuracy 67.486 (61.346)
Epoch: [0][5000/17702]	Batch Time 0.192 (0.182)	Data Load Time 0.038 (0.036)	Loss 3.9209 (4.3143)	Top-5 Accuracy 68.378 (61.447)
Epoch: [0][5100/17702]	Batch Time 0.170 (0.182)	Data Load Time 0.028 (0.036)	Loss 3.8496 (4.3072)	Top-5 Accuracy 64.167 (61.539)
Epoch: [0][5200/17702]	Batch Time 0.170 (0.182)	Data Load Time 0.030 (0.036)	Loss 3.8107 (4.3007)	Top-5 Accuracy 69.628 (61.619)
Epoch: [0][5300/17702]	Batch Time 0.169 (0.182)	Data Load Time 0.030 (0.036)	Loss 3.4949 (4.2936)	Top-5 Accuracy 71.549 (61.710)
Epoch: [0][5400/17702]	Batch Time 0.187 (0.182)	Data Load Time 0.041 (0.036)	Loss 4.2375 (4.2873)	Top-5 Accuracy 63.760 (61.791)
Epoch: [0][5500/17702]	Batch Time 0.168 (0.182)	Data Load Time 0.028 (0.036)	Loss 3.7956 (4.2811)	Top-5 Accuracy 69.143 (61.875)
Epoch: [0][5600/17702]	Batch Time 0.179 (0.182)	Data Load Time 0.036 (0.036)	Loss 3.9251 (4.2753)	Top-5 Accuracy 67.978 (61.951)
Epoch: [0][5700/17702]	Batch Time 0.181 (0.182)	Data Load Time 0.038 (0.036)	Loss 3.7236 (4.2697)	Top-5 Accuracy 71.468 (62.022)
Epoch: [0][5800/17702]	Batch Time 0.172 (0.182)	Data Load Time 0.032 (0.036)	Loss 3.6562 (4.2638)	Top-5 Accuracy 69.553 (62.101)
Epoch: [0][5900/17702]	Batch Time 0.177 (0.182)	Data Load Time 0.030 (0.036)	Loss 3.6979 (4.2584)	Top-5 Accuracy 67.282 (62.169)
Epoch: [0][6000/17702]	Batch Time 0.177 (0.182)	Data Load Time 0.038 (0.036)	Loss 4.1470 (4.2531)	Top-5 Accuracy 62.678 (62.239)
Epoch: [0][6100/17702]	Batch Time 0.177 (0.182)	Data Load Time 0.036 (0.036)	Loss 4.2363 (4.2475)	Top-5 Accuracy 62.500 (62.314)
Epoch: [0][6200/17702]	Batch Time 0.184 (0.182)	Data Load Time 0.037 (0.036)	Loss 4.1487 (4.2421)	Top-5 Accuracy 61.394 (62.379)
Epoch: [0][6300/17702]	Batch Time 0.169 (0.182)	Data Load Time 0.029 (0.036)	Loss 4.1048 (4.2372)	Top-5 Accuracy 61.944 (62.444)
Epoch: [0][6400/17702]	Batch Time 0.179 (0.182)	Data Load Time 0.029 (0.036)	Loss 3.9894 (4.2322)	Top-5 Accuracy 64.267 (62.505)
Epoch: [0][6500/17702]	Batch Time 0.180 (0.182)	Data Load Time 0.039 (0.036)	Loss 3.9190 (4.2270)	Top-5 Accuracy 65.722 (62.572)
Epoch: [0][6600/17702]	Batch Time 0.169 (0.182)	Data Load Time 0.027 (0.036)	Loss 3.8597 (4.2224)	Top-5 Accuracy 67.514 (62.632)
Epoch: [0][6700/17702]	Batch Time 0.173 (0.182)	Data Load Time 0.031 (0.036)	Loss 3.8318 (4.2179)	Top-5 Accuracy 68.033 (62.690)
Epoch: [0][6800/17702]	Batch Time 0.172 (0.182)	Data Load Time 0.028 (0.036)	Loss 3.7441 (4.2130)	Top-5 Accuracy 68.555 (62.753)
Epoch: [0][6900/17702]	Batch Time 0.184 (0.182)	Data Load Time 0.038 (0.036)	Loss 3.8847 (4.2085)	Top-5 Accuracy 67.236 (62.813)
Epoch: [0][7000/17702]	Batch Time 0.177 (0.182)	Data Load Time 0.030 (0.036)	Loss 3.5573 (4.2046)	Top-5 Accuracy 69.271 (62.871)
Epoch: [0][7100/17702]	Batch Time 0.181 (0.182)	Data Load Time 0.035 (0.036)	Loss 3.8662 (4.1999)	Top-5 Accuracy 68.293 (62.934)
Epoch: [0][7200/17702]	Batch Time 0.180 (0.182)	Data Load Time 0.038 (0.036)	Loss 4.1203 (4.1956)	Top-5 Accuracy 62.431 (62.991)
Epoch: [0][7300/17702]	Batch Time 0.176 (0.182)	Data Load Time 0.036 (0.036)	Loss 3.8684 (4.1908)	Top-5 Accuracy 66.575 (63.054)
Epoch: [0][7400/17702]	Batch Time 0.173 (0.182)	Data Load Time 0.031 (0.036)	Loss 3.4873 (4.1868)	Top-5 Accuracy 72.131 (63.104)
Epoch: [0][7500/17702]	Batch Time 0.172 (0.182)	Data Load Time 0.028 (0.036)	Loss 3.7796 (4.1829)	Top-5 Accuracy 69.519 (63.154)
Epoch: [0][7600/17702]	Batch Time 0.171 (0.182)	Data Load Time 0.031 (0.036)	Loss 3.7808 (4.1791)	Top-5 Accuracy 68.391 (63.207)
Epoch: [0][7700/17702]	Batch Time 0.218 (0.182)	Data Load Time 0.030 (0.036)	Loss 4.0898 (4.1755)	Top-5 Accuracy 65.123 (63.257)
Epoch: [0][7800/17702]	Batch Time 0.180 (0.182)	Data Load Time 0.030 (0.036)	Loss 4.3068 (4.1712)	Top-5 Accuracy 62.398 (63.314)
Epoch: [0][7900/17702]	Batch Time 0.169 (0.182)	Data Load Time 0.028 (0.036)	Loss 4.2261 (4.1672)	Top-5 Accuracy 61.389 (63.365)
Epoch: [0][8000/17702]	Batch Time 0.182 (0.182)	Data Load Time 0.040 (0.036)	Loss 4.0993 (4.1633)	Top-5 Accuracy 63.957 (63.419)
Epoch: [0][8100/17702]	Batch Time 0.184 (0.182)	Data Load Time 0.030 (0.036)	Loss 3.8241 (4.1595)	Top-5 Accuracy 69.588 (63.467)
Epoch: [0][8200/17702]	Batch Time 0.175 (0.182)	Data Load Time 0.037 (0.036)	Loss 3.8760 (4.1561)	Top-5 Accuracy 65.352 (63.514)
Epoch: [0][8300/17702]	Batch Time 0.178 (0.182)	Data Load Time 0.031 (0.036)	Loss 3.7265 (4.1527)	Top-5 Accuracy 70.350 (63.563)
Epoch: [0][8400/17702]	Batch Time 0.180 (0.182)	Data Load Time 0.029 (0.036)	Loss 4.0390 (4.1489)	Top-5 Accuracy 64.674 (63.613)
Epoch: [0][8500/17702]	Batch Time 0.172 (0.182)	Data Load Time 0.029 (0.036)	Loss 3.7147 (4.1454)	Top-5 Accuracy 67.493 (63.659)
Epoch: [0][8600/17702]	Batch Time 0.171 (0.182)	Data Load Time 0.031 (0.036)	Loss 3.8900 (4.1418)	Top-5 Accuracy 64.088 (63.705)
Epoch: [0][8700/17702]	Batch Time 0.172 (0.182)	Data Load Time 0.029 (0.036)	Loss 4.1774 (4.1390)	Top-5 Accuracy 60.753 (63.741)
Epoch: [0][8800/17702]	Batch Time 0.174 (0.182)	Data Load Time 0.030 (0.036)	Loss 3.5656 (4.1356)	Top-5 Accuracy 70.509 (63.787)
Epoch: [0][8900/17702]	Batch Time 0.177 (0.182)	Data Load Time 0.036 (0.036)	Loss 3.7661 (4.1326)	Top-5 Accuracy 69.602 (63.826)
Epoch: [0][9000/17702]	Batch Time 0.175 (0.182)	Data Load Time 0.029 (0.036)	Loss 3.8821 (4.1296)	Top-5 Accuracy 64.146 (63.866)
Epoch: [0][9100/17702]	Batch Time 0.176 (0.182)	Data Load Time 0.029 (0.036)	Loss 4.2137 (4.1266)	Top-5 Accuracy 63.315 (63.904)
Epoch: [0][9200/17702]	Batch Time 0.177 (0.182)	Data Load Time 0.036 (0.036)	Loss 3.8746 (4.1234)	Top-5 Accuracy 70.083 (63.947)
Epoch: [0][9300/17702]	Batch Time 0.183 (0.182)	Data Load Time 0.029 (0.036)	Loss 3.8866 (4.1200)	Top-5 Accuracy 68.112 (63.991)
Epoch: [0][9400/17702]	Batch Time 0.173 (0.182)	Data Load Time 0.029 (0.036)	Loss 3.7523 (4.1170)	Top-5 Accuracy 70.360 (64.031)
Epoch: [0][9500/17702]	Batch Time 0.179 (0.182)	Data Load Time 0.031 (0.036)	Loss 3.9132 (4.1143)	Top-5 Accuracy 64.595 (64.068)
Epoch: [0][9600/17702]	Batch Time 0.172 (0.182)	Data Load Time 0.029 (0.036)	Loss 3.6615 (4.1109)	Top-5 Accuracy 70.474 (64.113)
